Cause,Risk
"Pipe lay barge welding breakdown 
Low productivity 
Lack of familiarity with G1201
Only 1  ROV system onboard",Non-performance of G1201 
"Late identification of items
Market conditions/material availability
Reprioritizing delivery to meet subcontractor requests
Prolonged alignment process for deviations from BP specs with vendors
","Procurement delays of Bulk Materials e.g. bulk valves (TP provided)

: Risk has materialized, valves will be delays"
"Late completion of Vendor Engineering
Vendor Delays
Change in installation vessel (G1201) requiring subsea equipment earlier in schedule",Delays in delivery of subsea equipment (e.g. valves and subsea skids)
"Lack of training
Lack of safety culture
Lack of dedicated HSE resources",Increase in HSE incidents exposure at site
Unknown (and potentially unreliable) condition of the existing infrastructure in site,Power Outage in site impacts communications and project progress
Calculations of repair rates are questionable (No real data),Poor performance of contractor's welding and repair rates
"Shipment of incomplete packages to meet ROS dates
",Outstanding work lists to be completed by contractor
"Clarification process before PO
Alignment process after PO
Venders, suppliers, and subsuppliers' inability to find required material (e.g. NORSOK M650 compliant super duplex stainless steel) that meets specifications within required timeframe. 
Poor quality of vendor provided drawings
company and BP's lengthy review process of vendor provided drawings
BP's extensive involvement in review process (e.g. ISOs)",Longer than originally anticipated alignment process in procurement and engineering specifications (company and GIS)
contractor's ability to handle change has not been audited before,Inability to handle change management effectively  (contractor) 
"Lack of familiarity with local regulations/content and Taxes in TT.

CNQ; Tax department did not adequately advise the project team","Additional cost of unaccounted Taxes in TT

: The project will not bear the income tax but will be impacted by associated administrative costs (applies to personnel income tax only)"
Poor cashflow,Possibility of subsea structures fabricator T-Rex going out of business before completing structures
"Security in site/ LEVEL 3
High criminality",Security concerns associated with fabrication and installation in site 
"Number and quality of onshore resources available to support offshore work is currently unknown
company will use contractor resources offshore to support offshore work.",Limited or insufficient onshore (contractor) resources/infrastructure to support offshore work
"Late PO
Late completion of Engineering
Poor vendor selection
Market conditions/material availability
",Procurement delays of Bulk Materials e.g. super duplex top-up/additional for piping and E&I (contractor provided)
"Regulatory, Environmental, etc.
NO interface with CVA (CVA interfaces with BP)
Late involvement  of CVA (DNV)",Inability to comply with regulatory requirements e.g. CVA's interpretation differs from company's
No previous experience with contractor in regards to Ethics ,contractor's position and record on ethics (FCPA)
Key personnel from previous agency (Lennox) have left agency ,"Identifying and qualifying a new third party agency  (to provide manpower for TP, clearing vessels, etc.)"
"Lofting errors in contractor jacket shop drawings
: no direct impact to company but possible indirect costs",Delays in fabrication of jacket at subcontractor
"Lengthy Review Process
Reviewer workload
Agreeing with BPs process
Document control systems not aligned",Delays in issuing Rev. 1 deliverables
"Poor or inefficient weight management
Misleading or incorrect data
Poor interface management  
Weight of temporary facilities and equipment for hook up, commissioning activities and subsea sow",Topsides weight growth beyond unacceptable margins/impaired lifting capacity
Out of sequence work in engineering (e.g. Isometrics AFC before 60% model review),Re-engineering (caused by TP) leading to prefabrication
Cash flow issues of contractor,"contractor's financial position with associated to cash flow, payment guarantees and performance bonds"
Unclear custody transfer definitions between TP and BP within the terms and conditions of the contract ,Custody transfer and ownership issues during Hook-up and commissioning 
Exposure period of the warranty,Handling of performance guarantee
"Local conditions, policies, politics, etc.",Customs and import duties delays
 Unclear ROS dates by Fabricator, Sequencing issues in equipment delivery
"Lack of Support
Lack of familiarity with the local regulations and processes
Multiple interfaces (Ministry of Energy
Environmental Management Authority (EMA) Certificate of Environmental Clearance (CEC) )",Inefficient permitting and approval process in TT (denied or delays) 
 Late PO placements by BP,BP delay of OFE (Control System). 
"Audit # GF033672-000-RT-500-B indicates contractor lacks adequate processes for positive material identification, material receiving, material tracking from issue thru installation, and material traceability.

Audit # GF033672-000-RT-500-B indicates contractor does not have  adequate logistics planning for heavy lifting when material has to be shipped from Port of Spain or Point Lisas in site to La Brea, site.  As the Port will not be available to receive material due to shipping routes and the scheduled wharf access work  that needs to be done.

Inadequate resources and lack of management infrastructure.

Preservation issues (marked, tagged, stored correctly)
Storing on dirt","contractor's capability with associated to material control, traceability, and logistics."
Poor communication and interface management,contractor/company interface issues
"Safety/Evacuation concerns

: Originally planned for 40 POB, now 70 POB.",Denial of authorization of temporary facilities on the (normally unmanned) platform 
